Term	Poem	Part of Speech	Definition	Number of Occurrences	Tags
Cosmic	"Parturition"	adjective	1) Pertaining to the universe, and having special reference to universal law or order, or to the one grand harmonious system of things; hence, harmonious; orderly; 2) Pertaining to the solar system as a whole, and not to the earth alone; 3) Characteristic of the cosmos or universe; inconceivably great; vast; 4) (Astronomy) Rising or setting with the sun (MW)		astronomy
Bright	"Ignoramus"	adjective	1) Radiating or reflecting light; shedding or having much light; shining; luminous; not dark; 2) Transmitting light; clear; transparent; 3) Having qualities that render conspicuous or attractive, or that affect the mind as light does the eye; resplendent with charms; 4) Having a clear, quick intellect; intelligent; 5) Sparkling with wit; lively; vivacious; shedding cheerfulness and joy around; cheerful; 6) Illustrious; glorious; 7) Manifest to the mind, as light is to the eye; clear; evident; plain; 8) Of brilliant color; of lively hue or appearance (MW)		light
Luminous	"Apology of Genius"	adjective	1) Shining; emitting or reflecting light; brilliant; bright; as, the sun is a luminous body; a luminous color; 2) Illuminated; full of light; bright; as, many candles made the room luminous; 3) Enlightened; intelligent; also, clear; intelligible; as a luminous mind		light; astronomy
Lantern	"Love Songs"	noun	1) Something inclosing a light, and protecting it from wind, rain, etc;—sometimes portable, as a closed vessel or case of horn, perforated tin, glass, oiled paper, or other material, having a lamp or candle within; sometimes fixed, as the glazed inclosure of a street light, or of a lighthouse light; 2) (Architecture) a. An open structure of light material set upon a roof, to give light and air to the interior; b. A cage or open chamber of rich architecture, open below into the building or tower which it crowns; c. A smaller and secondary cupola crowning a larger one, for ornament, or to admit light; such as the lantern of the cupola of the Capitol at Washington, or that of the Florence cathedral; 3) (Mach.) A lantern pinion or trundle wheel; 4) (Steam Engine) A kind of cage inserted in a stuffing box and surrounding a piston rod, to separate the packing into two parts and form a chamber between for the reception of steam, etc;—called also lantern brass; 5) (Founding) A perforated barrel to form a core upon; 6) (Zoology) See Aristotle's lantern (MW)		man-made; light
Wreath	"English Rose"	noun	1) Something twisted, intertwined, or curled; 2) A garland; a chaplet, esp. one given to a victor; 3) (Her.) An appendage to the shield, placed above it, and supporting the crest.  It generally represents a twist of two cords of silk, one tinctured like the principal metal, the other like the principal color in the arms (MW)		circular
Centripetal	"Der Blinde Junge"	adjective	1) Tending, or causing, to approach the center; 2) (Botany) a, Expanding first at the base of the inflorescence, and proceeding in order towards the summit; b. Having the radicle turned toward the axis of the fruit, as some embryos; 3) Progressing by changes from the exterior of a thing toward its center (MW)		circular; botany
Night	"Ignoramus"; "Poe"; "Love Songs"; "Parturition"	noun	1) That part of the natural day when the sun is beneath the horizon, or the time from sunset to sunrise; esp., the time between dusk and dawn, when there is no light of the sun, but only moonlight, starlight, or artificial light; 2) Hence, darkness; obscurity; concealment (MW)		light; astronomy
Conservatory	"'The Starry Sky' of Wyndham Lewis"	noun	1) That which preserves from injury; 2) A place for preserving anything from loss, decay, waste, or injury; particularly, a greenhouse for preserving exotic or tender plants; 3) A public place of instruction, designed to preserve and perfect the knowledge of some branch of science or art, especially music (MW)		astronomy; scientific
Flight	"Crab-Angel"; "Der Blinde Junge"; "Brancusi's Golden Bird"	noun	1) The act of flying; a passing through the air by the help of wings; volitation; mode or style of flying; 2) The act of fleeing; the act of running away, to escape danger or expected evil; hasty departure; 3) Lofty elevation and excursion; a mounting; a soaring; 4) A number of beings or things passing through the air together; especially, a flock of birds flying in company; the birds that fly or migrate together; the birds produced in one season; 5) A series of steps or stairs reaching from one landing to another; 6) A kind of arrow for the longbow; also, the sport of shooting with it; 7) The husk or glume of oats (MW)		astronomy
Flicker	"Love Songs"	noun	1) The act of wavering or of fluttering; fluctuation; sudden and brief increase of brightness; 2) (Zoology) The golden-winged woodpecker;—so called from its spring note (MW)		light
Moon	"Lunar Baedeker"; "Poe"; "'The Starry Sky' of Wyndham Lewis"; "Love Songs"	noun	1) The celestial orb which revolves round the earth; the satellite of the earth; a secondary planet, whose light, borrowed from the sun, is reflected to the earth, and serves to dispel the darkness of the night; 2) A secondary planet, or satellite, revolving about any member of the solar system; 3) The time occupied by the moon in making one revolution in her orbit; a month; 4) A crescentlike outwork (MW)		astronomy
Death	"Italian Pictures: July in Vallombrosa"	noun	1) The cessation of all vital phenomena without capability of resuscitation, either in animals or plants; 2) Total privation or loss; extinction; cessation; 3) Manner of dying; act or state of passing from life; 4) Cause of loss of life; 5) Personified: The destroyer of life,—conventionally represented as a skeleton with a scythe; 6) Danger of death; 7) Murder; murderous character; 8) (Theology) Loss of spiritual life; 9) Anything so dreadful as to be like death (MW)		spiritual
